Time (s),ECG (V),PPG_Red,PPG_IR
5.208000,1.503241,339.495126,270.457209
5.216000,0.925772,342.904468,263.052382
5.224000,0.712873,345.302439,261.803777
5.232000,0.712873,338.457497,268.671808
5.240000,0.835486,335.864047,264.536738
5.248000,0.787095,337.419493,266.272614
5.256000,0.838709,336.363590,261.973245
5.264000,0.877432,335.912199,270.596124
5.272000,0.990327,340.469218,264.050223
5.280000,0.719318,343.842027,263.735422
5.288000,0.941936,340.681213,265.129032
5.296000,1.054832,335.541222,265.931066
5.304000,1.074168,334.147980,266.117905
5.312000,0.948382,342.287392,266.802315
5.320000,1.129004,334.831854,258.819780
5.328000,1.151614,336.583513,264.518364
5.336000,1.012886,334.765007,264.808120
5.344000,1.061277,334.865278,261.810696
5.352000,1.009664,342.723219,265.697306
5.360000,1.109668,342.731722,261.373078
5.368000,1.329014,340.039728,264.007140
5.376000,1.132227,339.608246,262.861268
5.384000,1.209673,339.678434,265.799452
5.392000,1.135500,338.896058,259.648335
5.400000,1.164504,341.048390,264.835380
5.408000,1.048386,343.091897,254.381533
5.416000,1.164504,344.716638,260.625011
5.424000,0.929046,347.388742,259.883148
5.432000,1.012886,338.780283,262.134726
5.440000,1.051609,341.516337,259.961347
5.448000,0.867713,336.532709,261.313155
5.456000,1.029000,343.929772,261.379718
5.464000,0.909659,339.371936,263.241178
5.472000,0.777427,338.736593,260.940003
5.480000,0.983882,335.308509,258.856469
5.488000,0.816100,337.343449,261.453156
5.496000,0.993550,338.192666,261.513256
5.504000,0.932268,342.969796,266.290682
5.512000,0.961273,340.512172,255.181826
5.520000,1.054832,340.568562,262.682447
5.528000,0.964495,336.553299,267.430480
5.536000,1.093555,341.855682,262.069142
5.544000,1.058054,336.890387,260.646558
